N=1000,TA Setup,,,Extract Phase 1,,,Extract Phase 2,,
Gmember,CTIME (ms),WTIME (ms),CYCLES (mil.),CTIME (ms),WTIME (ms),CYCLES (mil.),CTIME (ms),WTIME (ms),CYCLES (mil.)
1,0.10792,0.10803,237,0.09107,0.09108,200,0.08427,0.08430,185
5,0.10891,0.10901,239,0.09118,0.09120,200,0.42015,0.42040,927
10,0.10906,0.10918,239,0.09131,0.09136,200,0.83630,0.83686,1847
15,0.10943,0.10957,240,0.09190,0.09189,202,1.26035,1.26154,2784
20,0.11819,0.11839,259,0.09811,0.09815,215,1.78164,1.78359,3937
25,0.11258,0.11273,247,0.09416,0.09419,207,2.15076,2.15238,4751
30,0.11469,0.11491,252,0.09491,0.09495,208,2.59242,2.59476,5728
35,0.12014,0.12038,264,0.09918,0.09922,218,3.14211,3.14568,6944
40,0.12061,0.12087,265,0.09915,0.09923,218,3.59172,3.59590,7938
45,0.11987,0.12015,263,0.09856,0.09861,216,4.01720,4.02149,8878
50,0.12102,0.12131,266,0.09898,0.09903,217,4.50097,4.50572,9947
55,0.12130,0.12162,266,0.09932,0.09939,218,4.94617,4.95156,10931
60,0.12432,0.12471,273,0.10105,0.10116,222,5.47423,5.48638,12112
65,0.12003,0.12037,263,0.09940,0.09947,218,5.84130,5.84786,12910
70,0.12175,0.12206,267,0.09920,0.09933,218,6.28943,6.29754,13903
75,0.12526,0.12559,275,0.10202,0.10212,224,6.85425,6.86222,15150
80,0.12390,0.12430,272,0.10174,0.10186,223,7.31377,7.32483,16171
85,0.12491,0.12535,274,0.10084,0.10096,221,7.69029,7.70042,17000
90,0.12553,0.12592,275,0.10139,0.10148,223,8.20370,8.21450,18135
95,0.12375,0.12422,271,0.09975,0.09988,219,8.54200,8.55762,18893
100,0.12422,0.12463,272,0.10056,0.10066,221,9.03258,9.04400,19967
105,0.11504,0.11529,252,0.09484,0.09490,208,8.99683,9.01695,19908
110,0.11423,0.11449,251,0.09476,0.09485,208,9.41295,9.42223,20803
115,0.121586,0.122111,267,0.0993,0.099453,218,10.295566,10.317771,22780
120,0.124118,0.124621,272,0.100215,0.100395,220,10.875899,10.888891,24040
1E-06,,,,,,,,,
,,,,,,,,,
N=1000,Identification Phase 1,,,Identification Phase 2,,,Identification Phase 3,,
Gmember,CTIME (ms),WTIME (ms),CYCLES (mil.),CTIME (ms),WTIME (ms),CYCLES (mil.),CTIME (ms),WTIME (ms),CYCLES (mil.)
1,0.09088,0.09090,199,0.20932,0.20944,461,0.20604,0.20611,454
5,0.45277,0.45304,999,1.03920,1.03992,2295,0.20680,0.20684,455
10,0.90969,0.91027,2009,2.08234,2.08376,4600,0.20644,0.20651,455
15,1.37313,1.37440,3033,3.13382,3.13595,6923,0.20721,0.20723,456
20,1.95002,1.95207,4309,4.40728,4.41174,9740,0.22555,0.22562,497
25,2.34973,2.35133,5190,5.35021,5.35348,11819,0.21616,0.21621,476
30,2.84385,2.84618,6283,6.44799,6.45236,14245,0.21902,0.21906,482
35,3.44902,3.45223,7621,7.68637,7.69320,16985,0.23346,0.23359,514
40,3.92491,3.92869,8673,8.77508,8.78310,19391,0.23833,0.23844,525
45,4.40545,4.40947,9735,9.85965,9.86800,21787,0.23791,0.23801,524
50,4.93373,4.93835,10902,11.04125,11.05086,24398,0.24051,0.24059,530
55,5.42342,5.42863,11985,12.13331,12.14390,26812,0.24518,0.24531,540
60,6.00922,6.01564,13281,13.41416,13.43316,29658,0.24753,0.24765,545
65,6.41880,6.42510,14185,14.35718,14.37005,31727,0.24894,0.24889,548
70,6.90983,6.91713,15271,15.46827,15.48434,34187,0.24289,0.24303,535
75,7.51285,7.52005,16602,16.79924,16.81396,37123,0.25071,0.25080,552
80,7.98509,7.99596,17653,17.87797,17.90102,39523,0.24352,0.24351,536
85,8.47133,8.48063,18723,18.84007,18.85833,41637,0.24756,0.24766,545
90,9.02575,9.03814,19954,20.04001,20.07916,44332,0.25065,0.25074,552
95,9.39140,9.40157,20757,20.88874,20.90741,46161,0.24787,0.24798,546
100,9.94513,9.95551,21980,22.20316,22.22288,49066,0.24775,0.24786,546
105,9.88137,9.89122,21838,22.30584,22.35759,49364,0.21903,0.21913,482
110,10.32329,10.33174,22811,23.33015,23.34541,51545,0.21924,0.21932,483
115,11.350872,11.373292,25110,25.142751,25.188661,55614,0.241863,0.242109,533
120,11.985028,11.997433,26488,26.605277,26.628447,58793,0.248971,0.249115,548
